id,title,avg_rating,no_plays,owned,wishlist
1,Gloomhaven,8735,408892,79584,17935
2,Scyte,8215,231027,88886,19666
3,Dune Imperium,8327,48099,26657,8743
4,Arkham Horror,8160,212148,61705,8775
5,Viticulture,8052,116080,4384,10375
6,Tolk'in,7887,98276,39431,8432
7,Robinson,7811,98427,59205,11636
8,7 Wonders,7729,492847,122395,12202
9,Agricola,7993,30076,16858,2474
10,Patchwork,7632,254249,80979,7219
11,Codemanes,7592,493132,122490,5831
12,Pandemic,7584,371581,171513,9436
13,Sherlock Holmes Consulting Detective,7695,34572,35812,6953
14,Kemet,7699,27729,19564,6419
15,Alchemists,7667,38548,26248,4962
16,Ticket to Ride: Europe,7544,190911,94413,6021
17,Ganz Schon clever,7618,228007,28060,2523
18,Chaos in the Old World,7676,25898,15251,3999
19,A Game of Thrones,7574,33097,41973,5135
20,Detective,7799,18782,18702,3709
21,Splendor,7438,441905,94561,8461
22,Carcassonne,7417,500898,164104,7522
23,Cyclades,7517,32999,21398,5991
24,Dune,8074,6030,13001,3992
25,Shogun,7531,17628,13245,3656
26,Dixit,7438,35768,25808,2392
27,Imperial Settlers,7369,79096,30183,4842
28,Fantasty Realms,7562,94498,13961,2651
29,Cthulhu Wars,7894,12953,6050,2866
30,Century: Spice Road,7349,89626,27093,4200
31,Small World,7241,149460,87436,9542
32,Letters from Whitechapel,7377,24820,20470,4669
33,Neuroshima Hex 3.0,7399,65983,14785,2947
34,51st State,7640,18826,8458,2204
35,The Pillars of the Earth,7280,29602,20861,3593
36,Abyss,7333,35178,14854,3442
37,Space Hulk,7532,10150,9760,1546
38,Dice Forge,7270,73175,26725,3671
39,The Manhattan Project,7345,19086,11930,2604
40,Firefly,7390,20321,20370,2386
41,Schotten Totten,7327,50593,14451,1538
42,Reign of Cthulhu - Pandemic,7400,20231,16150,2429
43,Sheriff of Nottingham,7116,59215,48164,6086
44,Exit: Dead Man on Orient Express,7660,3956,7796,544
45,Colt Express,7108,81028,38423,3582
46,Citadels,7079,111784,67903,3275
47,Mandala,7641,21358,6843,2007
48,Catan,7130,300626,171017,5952
49,The King is Dead,7815,8025,5873,2079
50,OneNight ultimate Warewolf,7109,178835,41419,2971
51,Bohnanza,7042,134186,61183,2754
52,Sushi Go!,7036,185827,67049,2356
53,Discworld: Ankh Morpork,7238,22159,11518,2319
54,Star Craft,7341,10028,9005,2006
55,7 Wonders,8070,10884,4940,840
56,Cubitos,7612,14336,6842,2635
57,The Battle of Five Armies,7878,3540,5598,1929
58,Mr. Jack,6999,51038,20848,20848
59,Cacao,7090,38707,11698,1572
60,BANG! Dice Game,6934,98012,34089,2859
61,Pret-a-porte,7383,8187,7854,1500
62,Red7,6895,99036,20129,1352
